krill_id	site	occurrenceID	isotope_source_rows	metal_values
K001	Antarctic Sound	FKt241214_S0767_K001	1	0
K002	Antarctic Sound	FKt241214_S0767_K002	1	0
K003	Antarctic Sound	FKt241214_S0767_K003	3	14
K004	Antarctic Sound	FKt241214_S0767_K004	1	0
K005	Antarctic Sound	FKt241214_S0767_K005	1	0
K006	Antarctic Sound	FKt241214_S0767_K006	1	0
K007	Antarctic Sound	FKt241214_S0767_K007	1	0
K008	Antarctic Sound	FKt241214_S0767_K008	1	0
K009	Antarctic Sound	FKt241214_S0767_K009	1	0
K010	Antarctic Sound	FKt241214_S0767_K010	1	0
K011	Antarctic Sound	FKt241214_S0767_K011	1	0
K012	Antarctic Sound	FKt241214_S0767_K012	1	0
K013	Antarctic Sound	FKt241214_S0767_K013	1	0
K014	Antarctic Sound	FKt241214_S0767_K014	1	14
K015	Antarctic Sound	FKt241214_S0767_K015	1	14
K016	Antarctic Sound	FKt241214_S0767_K016	1	14
K017	Antarctic Sound	FKt241214_S0767_K017	0	0
K018	Antarctic Sound	FKt241214_S0767_K018	0	0
K019	Antarctic Sound	FKt241214_S0767_K019	1	0
K020	Antarctic Sound	FKt241214_S0767_K020	1	0
K021	Antarctic Sound	FKt241214_S0767_K021	1	0
K022	Antarctic Sound	FKt241214_S0767_K022	1	0
K023	Antarctic Sound	FKt241214_S0767_K023	1	0
K024	Antarctic Sound	FKt241214_S0767_K024	1	0
K025	Antarctic Sound	FKt241214_S0767_K025	1	0
K026	Antarctic Sound	FKt241214_S0767_K026	1	0
K027	Antarctic Sound	FKt241214_S0767_K027	0	0
K028	Antarctic Sound	FKt241214_S0767_K028	0	0
K029	Antarctic Sound	FKt241214_S0767_K029	0	0
K030	Antarctic Sound	FKt241214_S0767_K030	0	0
K031	Antarctic Sound	FKt241214_S0767_K031	0	0
K032	Antarctic Sound	FKt241214_S0767_K032	0	0
K033	Antarctic Sound	FKt241214_S0767_K033	0	0
K034	Antarctic Sound	FKt241214_S0767_K034	0	0
K035	Antarctic Sound	FKt241214_S0767_K035	0	0
K036	Hook Ridge	FKt241214_S0770_K036	3	14
K037	Hook Ridge	FKt241214_S0770_K037	1	14
K038	Hook Ridge	FKt241214_S0770_K038	2	14
K039	Hook Ridge	FKt241214_S0770_K039	1	14
