eventID	occurrenceID	basisOfRecord	occurrenceStatus	individualCount	organismID	scientificName	scientificNameAuthorship	scientificNameID	kingdom	taxonRank	sex	lifeStage	reproductiveCondition	associatedReferences	occurrenceRemarks
FKt241214_S0767	FKt241214_S0767_K001	MaterialSample	detected	1	FKt241214_S0767_K001	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	male			https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K001; verbatim Sex/Stage: M3A. SourceData.xlsx, Morphometrics row 2. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K002	MaterialSample	detected	1	FKt241214_S0767_K002	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	male			https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K002; verbatim Sex/Stage: M2A. SourceData.xlsx, Morphometrics row 3. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K003	MaterialSample	detected	1	FKt241214_S0767_K003	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	male			https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K003; verbatim Sex/Stage: M3A. SourceData.xlsx, Morphometrics row 4. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K004	MaterialSample	detected	1	FKt241214_S0767_K004	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	male			https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K004; verbatim Sex/Stage: M2A. SourceData.xlsx, Morphometrics row 5. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K005	MaterialSample	detected	1	FKt241214_S0767_K005	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	male			https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K005; verbatim Sex/Stage: M3B. SourceData.xlsx, Morphometrics row 6. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K006	MaterialSample	detected	1	FKt241214_S0767_K006	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species		juvenile		https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K006; verbatim Sex/Stage: J. SourceData.xlsx, Morphometrics row 7. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K007	MaterialSample	detected	1	FKt241214_S0767_K007	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species		juvenile		https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K007; verbatim Sex/Stage: J. SourceData.xlsx, Morphometrics row 8. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K008	MaterialSample	detected	1	FKt241214_S0767_K008	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	female			https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K008; verbatim Sex/Stage: F3A. SourceData.xlsx, Morphometrics row 9. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K009	MaterialSample	detected	1	FKt241214_S0767_K009	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	female			https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K009; verbatim Sex/Stage: F3B. SourceData.xlsx, Morphometrics row 10. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
FKt241214_S0767	FKt241214_S0767_K010	MaterialSample	detected	1	FKt241214_S0767_K010	Euphausia superba	Dana, 1850	urn:lsid:marinespecies.org:taxname:236217	Animalia	species	male			https://doi.org/10.1038/s42003-026-10780-1	Source krill ID: K010; verbatim Sex/Stage: M2A. SourceData.xlsx, Morphometrics row 11. M=male; F=female; J=juvenile (Table S1). -- treated as missing. Stage codes retained in eMoF; other maturity suffixes not expanded. individualCount represents this specimen, not total abundance at the site.
